Input_FID,FID_1,index,tile,confidence,diameter_k,res,lat,long,OBJECTID_2,OBJECTID,Shape_Leng,Unit,UnitDesc,SphArea_km,id,area,lat_1,Shape_Le_1,area_pol,Shape_Le_2,Shape_Area
"22","242532","220",tile_0044_1_45,0.98063900000,0.11409000000,5m,-0.00236519300,-176.39153740000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,421.00700000000,1.56994744771,0.11982576470
"11","242521","217",tile_0042_1_43,0.54018500000,0.21804000000,5m,-0.03560092600,-176.52987670000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,145.16200000000,0.83327947791,0.04131557998
"18","242528","214",tile_0041_1_42,0.99999200000,0.26110000000,5m,-0.01266692500,-176.66639570000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,11.22750000000,0.22955507296,0.00319553221
"36","351664","8355",tile_2487_50_38,0.82749600000,0.05085000000,5m,0.03135746300,-176.92585290000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,80.46180000000,0.75122957479,0.02290082369
"102","351736","7838",tile_2379_48_30,0.21641700000,0.07632000000,5m,0.14453344800,-177.64149790000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,116.14300000000,1.02721994720,0.03305642109
"78","351711","7845",tile_2381_48_32,0.52403900000,0.12456000000,5m,0.11671126600,-177.44127760000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,11.93630000000,0.29944292930,0.00339728103
"97","351730","7863",tile_2384_48_35,0.94592900000,0.11890000000,5m,0.13626812000,-177.17456900000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,7.85711000000,0.19365748359,0.00223626876
"98","351731","7873",tile_2386_48_37,0.41510800000,0.15074000000,5m,0.13899560100,-177.06023160000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,5.25456000000,0.19314191544,0.00149553784
"90","351723","7878",tile_2389_48_40,0.31128700000,0.11771000000,5m,0.12817065200,-176.80751010000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,10.32170000000,0.21994597351,0.00293774446
"96","351729","7886",tile_2391_48_42,0.96330100000,0.09042000000,5m,0.13617002000,-176.67420910000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,7.82928000000,0.18846855934,0.00222834950
